PRE	ACT
32	50
36	58
37	48
40	58
44	68
51	81
56	74
59	87
60	72
58	60
55	62
51	60
51	56
50	60
51	63
51	83
57	88
62	82
62	63
59	70
57	81
61	87
62	85
62	91
63	87
62	67
60	83
61	92
63	88
66	81
64	88
64	89
64	85
66	90
68	95
68	88
67	87
68	77
66	76
64	69
60	70
62	62
61	64
60	65
57	54
52	59
49	60
47	60
46	60
46	60
46	72
56	76
59	60
60	77
63	96
68	87
67	83
67	81
66	71
66	66
64	66
63	62
61	51
59	48
55	60
54	62
50	71
49	72
48	71
49	74
52	59
50	60
49	53
47	60
47	60
50	73
51	74
53	83
56	82
56	69
56	73
58	59
56	72
56	79
57	78
59	87
63	81
62	91
67	91
68	101
72	94
67	91
64	100
65	129
78	138
89	126
89	126
89	124
89	145
99	139
101	130
101	113
97	104
93	101
91	103
90	107
89	114
88	101
86	83
79	76
74	67
67	69
61	72
59	100
63	107
67	114
70	105
74	92
74	91
73	90
75	76
67	50
57	35
48	26
39	24
32	23
27	17
22	28
24	33
25	41
31	31
29	31
29	32
28	35
28	33
27	33
28	31
27	29
26	35
26	39
28	36
28	40
32	43
38	43
45	45
48	48
49	52
51	54
53	51
53	48
49	48
58	48
55	35
40	30
32	30
28	28
26	27
25	26
24	25
22	23
21	26
19	28
17	21
14	29
14	19
14	23
15	23
14	30
17	33
18	36
21	46
25	56
31	54
37	62
40	62
43	60
45	56
43	50
40	52
39	50
39	45
38	34
34	33
32	35
31	29
29	38
27	48
28	63
31	73
36	84
43	81
48	79
49	94
55	102
64	105
69	108
74	116
80	114
83	116
86	107
85	95
81	92
78	90
76	86
72	86
69	84
66	82
64	81
62	95
65	118
71	114
73	106
74	108
74	111
75	111
75	113
75	116
77	121
81	129
87	128
92	137
96	147
100	141
101	120
99	119
97	108
93	107
90	108
89	109
88	123
89	119
88	125
88	155
93	170
99	183
107	183
112	184
116	178
118	182
120	188
125	185
131	181
136	174
137	167
135	175
137	177
138	169
137	172
138	183
140	193
142	200
144	225
149	222
152	215
152	212
151	216
151	170
140	155
128	145
119	159
115	200
120	219
129	217
139	205
145	192
148	183
149	172
144	166
139	163
134	148
126	134
117	121
109	125
104	131
109	67
88	24
61	14
40	11
24	13
11	11
2	10
-1	7
-4	8
-5	8
-7	4
-8	3
-9	3
-11	3
-11	3
-12	5
-12	5
-11	3
-12	3
-12	3
-12	7
-12	10
-11	4
-11	8
-10	7
-10	6
-10	3
-10	7
-10	5
-11	3
-11	4
-12	6
-11	7
-11	5
-11	5
-10	4
-9	10
-6	11
-4	10
-2	13
0	9
0	11
1	5
0	8
0	4
0	11
0	10
0	5
0	13
0	13
1	14
3	14
4	5
2	13
3	8
3	9
2	11
3	14
3	16
5	16
8	24
12	28
16	33
20	32
23	34
25	33
26	30
28	42
33	46
27	38
26	36
26	31
27	35
29	32
30	36
32	37
32	32
31	43
31	50
33	60
38	66
42	70
48	91
56	101
66	103
72	102
78	119
86	119
90	128
94	123
96	125
97	120
94	118
102	94
96	79
83	75
72	68
62	65
55	65
43	52
36	45
34	42
34	36
33	59
36	54
37	40
34	34
31	39
32	47
37	54
41	53
43	58
46	60
49	60
51	63
54	75
60	75
64	81
67	74
66	72
62	67
58	69
56	88
73	97
80	113
85	114
88	104
83	46
66	15
44	5
28	6
8	10
0	48
2	39
8	4
5	7
4	8
3	6
3	7
3	8
5	5
16	4
14	3
9	12
5	6
1	9
0	10
0	8
-2	8
-4	8
-5	8
-6	3
-7	4
-8	8
-8	6
-7	6
-13	9
-10	10
-4	11
1	7
5	10
16	9
16	13
15	16
14	19
13	13
11	13
10	17
11	18
12	13
11	12
10	11
9	17
9	26
12	41
17	50
22	50
26	50
28	52
32	53
35	56
40	66
45	76
53	78
59	77
62	80
66	83
69	85
70	84
69	73
64	60
59	54
54	54
50	60
49	69
51	76
53	96
60	114
70	129
80	136
91	133
95	126
95	114
90	114
88	131
90	133
94	125
94	125
94	128
96	142
100	145
104	155
110	156
112	155
112	153
110	151
109	148
108	137
104	139
101	137
97	150
97	145
97	142
96	148
97	161
101	163
105	158
108	159
111	157
114	171
121	163
125	163
128	187
134	198
138	188
139	188
140	184
135	178
131	174
127	173
124	174
122	172
130	184
130	185
124	70
94	29
66	32
48	25
33	21
22	11
14	10
8	4
3	8
1	11
0	6
-1	9
-2	7
-4	11
-4	12
-3	8
-3	5
-4	6
-4	6
-4	7
-9	8
-7	5
-3	8
1	14
9	22
20	22
26	23
30	27
32	21
29	22
29	27
29	31
31	32
36	33
39	33
40	38
42	36
43	41
44	41
44	42
46	44
47	50
49	51
50	45
49	47
49	43
48	44
48	46
48	46
47	40
47	57
49	60
50	64
52	64
54	69
58	66
61	74
64	81
67	75
80	76
80	84
79	36
60	5
40	4
24	5
13	5
5	6
0	10
-2	7
-4	3
-7	4
-8	3
-9	5
-10	6
-10	4
-10	5
-10	6
-10	3
-10	4
-9	6
-8	4
-7	5
-7	4
-7	5
-6	3
-6	3
-6	6
-13	5
-12	6
-7	4
-1	4
5	3
7	3
8	3
7	10
6	9
4	15
5	9
5	19
7	25
11	29
14	23
15	26
17	24
18	21
22	27
26	32
28	36
30	41
33	62
42	63
47	48
47	50
47	47
46	43
45	37
42	41
42	43
41	37
38	37
36	42
35	44
34	50
35	60
39	57
42	63
46	67
49	67
53	73
58	71
60	71
62	76
66	89
73	92
78	91
80	87
90	80
89	71
81	39
65	17
47	18
34	18
26	8
17	4
8	5
2	7
0	5
-3	7
-3	3
-4	8
-3	6
-3	6
-2	4
-2	3
-3	5
-4	8
-3	6
-3	3
-3	4
-4	4
-5	3
-5	4
-5	3
-5	3
-6	4
-6	7
-6	6
-5	4
-6	7
-5	9
-3	5
-3	6
-2	6
-1	3
-1	10
0	9
0	12
2	15
4	18
6	20
9	21
13	26
18	28
21	26
13	6
5	10
3	8
5	10
7	13
11	11
23	6
21	7
15	9
8	9
4	11
2	7
0	11
0	13
0	14
4	16
8	24
14	22
19	26
22	30
24	37
27	46
32	47
35	46
37	54
43	59
49	62
54	53
56	48
57	60
63	70
72	74
78	74
80	74
79	69
77	62
74	56
66	59
63	60
62	82
70	95
82	91
89	81
87	75
83	71
90	72
86	70
78	69
70	65
61	65
56	54
51	29
41	10
29	8
19	10
12	8
6	10
2	8
0	5
-2	6
-4	4
-6	7
-7	7
-7	6
-7	3
-6	5
-6	5
-6	3
-7	5
-7	6
-8	7
-8	7
-7	6
-6	4
-6	5
-5	8
-4	9
-3	4
-2	3
-2	6
-2	12
0	26
2	41
7	43
12	63
20	99
34	87
41	66
44	72
48	67
51	69
54	82
59	91
62	92
65	94
66	102
70	100
69	91
66	75
63	68
60	72
60	70
62	63
60	54
55	66
53	77
52	72
52	71
52	70
53	77
55	88
61	88
65	92
69	97
73	92
77	128
96	133
102	126
102	125
102	118
102	109
96	109
92	109
89	103
87	97
85	96
82	97
81	92
79	91
78	86
76	59
66	47
57	46
49	60
48	124
62	136
77	138
88	121
91	129
96	134
100	128
103	121
112	137
125	134
129	149
131	65
121	53
111	94
110	87
110	114
117	154
126	157
136	164
142	162
145	173
147	167
144	166
142	177
144	91
121	21
91	10
67	10
46	8
31	13
20	10
12	7
6	7
2	7
0	8
0	8
1	10
1	9
3	8
4	7
3	5
1	7
0	5
-2	6
-4	3
-5	7
-4	3
-4	3
-3	3
-2	3
-1	6
-1	6
-1	3
-1	4
-3	4
-2	5
-2	6
-2	3
-2	3
-2	3
-2	4
-2	4
-2	5
0	9
2	7
3	6
4	5
3	6
1	6
0	9
1	10
1	7
1	6
0	5
0	4
-1	4
-3	4
-3	3
-4	4
-4	5
-3	4
-2	3
-3	5
-2	4
-1	6
0	3
0	7
3	13
6	8
6	12
5	12
4	12
3	12
7	13
8	17
10	32
